name,department,rating,num_ratings,would_take_again_pct,level_of_difficulty,professor_url
Maura McClafferty,Advisor,5,3,100%,1,https://www.ratemyprofessors.com/professor/2747385
Aisulu Raspayeva,Linguistics,5,3,100%,2.7,https://www.ratemyprofessors.com/professor/3000095
Shane Schweitzer,Business Administration,5,2,100%,2.5,https://www.ratemyprofessors.com/professor/3100740
Krista Larsen,Criminal Justice,4.2,54,84%,2.7,https://www.ratemyprofessors.com/professor/1051370
Nikki James,Entrepreneurship,1.8,19,21%,3.1,https://www.ratemyprofessors.com/professor/2829958
Tarushi Sonthalia,English,3.5,2,100%,3,https://www.ratemyprofessors.com/professor/3153164
Martin Dias,Management,3.1,67,42%,4.1,https://www.ratemyprofessors.com/professor/1718977
Mengchao Ai,Finance,2.2,49,29%,3.9,https://www.ratemyprofessors.com/professor/2807662
Vishal chawla,Information Science,3.7,11,64%,3.5,https://www.ratemyprofessors.com/professor/2736799
Christopher Barney,Game Design,2.3,6,33%,4.7,https://www.ratemyprofessors.com/professor/2930704
John Felix,Environmental Science,2.2,6,17%,2.5,https://www.ratemyprofessors.com/professor/2300438
Julius Marpaung,Electrical Engineering,1.5,37,14%,4.4,https://www.ratemyprofessors.com/professor/2368395
Cammy Brothers,Architecture,3.3,24,50%,2.8,https://www.ratemyprofessors.com/professor/2516792
Iris Berent,Psychology,2.5,44,44%,3.7,https://www.ratemyprofessors.com/professor/1323116
Ruth Aguilera,International Business,3.2,14,57%,3.5,https://www.ratemyprofessors.com/professor/2889553
Farzad Noubary,Health Science,3.2,9,44%,3.1,https://www.ratemyprofessors.com/professor/2891857
Hany Sadaka,Mathematics,2.2,5,40%,4.4,https://www.ratemyprofessors.com/professor/3117355
Kaan Onarlioglu,Computer Science,5,88,99%,3.7,https://www.ratemyprofessors.com/professor/2338287
Karl Lieberherr,Computer Science,2.6,37,30%,3.9,https://www.ratemyprofessors.com/professor/430930
James Gutierrez,Music,3,33,42%,2.6,https://www.ratemyprofessors.com/professor/2618606
Iraklis Tsekourakis,Computer Science,2.6,29,38%,3.7,https://www.ratemyprofessors.com/professor/2997077
Aaron Daniels,Psychology,4.8,19,94%,2.7,https://www.ratemyprofessors.com/professor/2811535
Michelle Laboy,Architecture,1.8,15,0%,4.1,https://www.ratemyprofessors.com/professor/1260014
Matthew Rudolph,International Studies,1.2,11,0%,4.4,https://www.ratemyprofessors.com/professor/2898324
Jonathon Bennett,Biology,4,70,74%,3,https://www.ratemyprofessors.com/professor/2978097
Kyle Gobrogge,Psychology,4.9,64,97%,1.9,https://www.ratemyprofessors.com/professor/2356192
Joseph  Henry,Finance,2.9,32,44%,4.5,https://www.ratemyprofessors.com/professor/2971030
Slava Epstein,Biology,4.3,6,100%,2.5,https://www.ratemyprofessors.com/professor/1995030
Kirsten Fertuck,Biochemistry,2.5,57,33%,3.7,https://www.ratemyprofessors.com/professor/2218600
Eugene Tang,Physics,5,3,100%,4.7,https://www.ratemyprofessors.com/professor/3084356
Sergey Aityan,Engineering,3.3,3,33%,3,https://www.ratemyprofessors.com/professor/2997858
Gloria Ferrer Morera,International Business,4.5,2,100%,2.5,https://www.ratemyprofessors.com/professor/3153074
Max Abrahms,Political Science,4,28,79%,3,https://www.ratemyprofessors.com/professor/2022761
Roy  Gernhardt,Economics,5,10,100%,2.6,https://www.ratemyprofessors.com/professor/3025748
Peter Fraunholtz,History,2.1,48,0%,4.2,https://www.ratemyprofessors.com/professor/282675
George jedras,Business,4.8,18,100%,1.1,https://www.ratemyprofessors.com/professor/2903127
Brian O'Connell,Engineering,3.1,52,44%,4.2,https://www.ratemyprofessors.com/professor/2282947
Andrew van der Poel,Computer Science,3.7,31,68%,3.8,https://www.ratemyprofessors.com/professor/2574535
Jacob Stump,Philosophy,5,27,100%,2.6,https://www.ratemyprofessors.com/professor/2543172
Soheil Behnezhad,Computer Science,3.4,5,60%,4.4,https://www.ratemyprofessors.com/professor/2937815
Wallace Lages,Computer Science,2.8,4,50%,4.3,https://www.ratemyprofessors.com/professor/2937675
Rajini Jesudason,Mathematics,2.5,109,32%,3.6,https://www.ratemyprofessors.com/professor/1212215
Madhavi Venkatesan,Economics,4.7,27,85%,2.6,https://www.ratemyprofessors.com/professor/2687043
Gastón de los Reyes,International Business,3.5,15,53%,3.6,https://www.ratemyprofessors.com/professor/2964909
Patrick Jones,Linguistics,5,8,100%,2,https://www.ratemyprofessors.com/professor/1790165
Sharon Milne,Nursing,4,7,86%,3.1,https://www.ratemyprofessors.com/professor/2953932
Kathleen Creel,Philosophy,5,2,100%,1.5,https://www.ratemyprofessors.com/professor/3145984
Richard Wang,Business,5,2,100%,2.5,https://www.ratemyprofessors.com/professor/3124796
Xiaolin Shi,Economics,4.7,39,90%,2.7,https://www.ratemyprofessors.com/professor/2738261
James Dew,Economics,3.2,30,47%,1.7,https://www.ratemyprofessors.com/professor/2303075
Rangoli Goyal,Mathematics,3.7,29,66%,3.5,https://www.ratemyprofessors.com/professor/2870834
Sophine Clachar,Computer Science,2.2,20,30%,2.6,https://www.ratemyprofessors.com/professor/2607967
Aleks Gollu,Business,2.4,18,28%,3.3,https://www.ratemyprofessors.com/professor/3000423
Stephen Warren,Communication Studies,2.2,15,47%,3.1,https://www.ratemyprofessors.com/professor/3047930
Adetoun Yeaman,Engineering,1.6,14,14%,1.7,https://www.ratemyprofessors.com/professor/2947273
Venkatraman Lakshmibai,Mathematics,1.7,13,0%,3.1,https://www.ratemyprofessors.com/professor/972724
Lindsay Mehrmanesh,Biology,3.2,11,55%,2.2,https://www.ratemyprofessors.com/professor/2866663
Kamila Kehoe,English,4.4,5,80%,2,https://www.ratemyprofessors.com/professor/3049430
Patrick Hurley,Accounting,4.9,249,99%,3,https://www.ratemyprofessors.com/professor/2128186
Fabricius Somogyi,Finance,4.3,22,82%,4.1,https://www.ratemyprofessors.com/professor/2880355
Nabil Atallah,Biology,4.4,18,83%,2.6,https://www.ratemyprofessors.com/professor/2973091
Mohammad Fanaei,Engineering,1.8,18,22%,3.4,https://www.ratemyprofessors.com/professor/2868569
Nan Zhou,Economics,4.8,16,100%,1.3,https://www.ratemyprofessors.com/professor/3072484
Naveen Sapavath,Engineering,1.4,14,21%,2.1,https://www.ratemyprofessors.com/professor/3038952
Bob Murray,Business Administration,4.3,14,80%,3.2,https://www.ratemyprofessors.com/professor/2028281
Felicia Lassk,Marketing,3.3,12,25%,2.8,https://www.ratemyprofessors.com/professor/532369
Solomon Opare,Accounting,3.8,9,44%,3.2,https://www.ratemyprofessors.com/professor/3126800
Daniel Nwogwugwu,Communication Studies,3.7,9,56%,1.6,https://www.ratemyprofessors.com/professor/3001875
Ifa Khan,Business Administration,2.7,9,33%,2.7,https://www.ratemyprofessors.com/professor/2837434
Sam Sacco,Finance,5,2,100%,2,https://www.ratemyprofessors.com/professor/3026133
Akshar Varma,Computer Science,2,117,23%,4.4,https://www.ratemyprofessors.com/professor/3034822
Sarah Peacock,Biology,2.5,75,36%,3.6,https://www.ratemyprofessors.com/professor/2579045
Jonathan Esole,Mathematics,2.4,25,28%,3.5,https://www.ratemyprofessors.com/professor/2281628
Panagoula Diamanti-Karanou,Political Science,4.3,18,82%,2,https://www.ratemyprofessors.com/professor/2461231
Joshua Gallaway,Chemical Engineering,4.9,11,100%,3.2,https://www.ratemyprofessors.com/professor/2456301
Hongli (Julie) Zhu,Industrial Engineering,4.3,13,85%,2.1,https://www.ratemyprofessors.com/professor/2457468
Leena Razzaq,Computer Science,2.7,127,29%,3.7,https://www.ratemyprofessors.com/professor/1682644
Assad Fotovatian,Physics,2.9,126,50%,3.5,https://www.ratemyprofessors.com/professor/2428661
Leonel Murga,Chemistry,3.2,81,59%,3.9,https://www.ratemyprofessors.com/professor/2311242
Laney Strange,Computer & Informational Tech.,4.8,67,99%,2.5,https://www.ratemyprofessors.com/professor/2534366
Dan Matthew,Chemistry,4.7,66,97%,2.9,https://www.ratemyprofessors.com/professor/2732831
Daniel Patterson,Computer Science,3.7,54,67%,3.3,https://www.ratemyprofessors.com/professor/2877671
Ravi Sundaram,Computer Science,2.3,35,13%,4.1,https://www.ratemyprofessors.com/professor/769812
Rush Sanghrajka,Computer Science,4.3,28,86%,2.5,https://www.ratemyprofessors.com/professor/2999746
Duncan Davis,Engineering,4.7,24,96%,2.7,https://www.ratemyprofessors.com/professor/2360982
Robert Durant,Marketing,2.9,22,50%,1.8,https://www.ratemyprofessors.com/professor/3002027
Carolyn Sirois,Writing,3.6,21,75%,2.3,https://www.ratemyprofessors.com/professor/1176240
Jennifer Cullen,International Studies,4.8,12,100%,2,https://www.ratemyprofessors.com/professor/2357902
Do Kien Hoang,Mathematics,4.9,10,100%,2.5,https://www.ratemyprofessors.com/professor/3128431
Ivan Rupnik,Architecture,2.3,4,25%,4,https://www.ratemyprofessors.com/professor/3051783
Juner Zhu,Engineering,1,1,0%,1,https://www.ratemyprofessors.com/professor/3107392
Shu-Shih Wu,Mathematics,3.3,157,41%,3.2,https://www.ratemyprofessors.com/professor/297560
Carlene Hempel,Journalism,3.8,54,64%,4,https://www.ratemyprofessors.com/professor/497520
Michael Ruff,Accounting,4,48,73%,3.7,https://www.ratemyprofessors.com/professor/2194131
Kathleen Durant,Computer Science,2.4,42,26%,3.4,https://www.ratemyprofessors.com/professor/2069655
Christopher Miller,Accounting,4.6,27,85%,2.7,https://www.ratemyprofessors.com/professor/2738989
Edgar Karapetian,Mathematics,2.8,25,52%,3,https://www.ratemyprofessors.com/professor/2771322
Gordana Todorov,Mathematics,3.9,20,43%,2.7,https://www.ratemyprofessors.com/professor/561418
Skylar Borgstrom,Visual Arts,1.4,9,0%,3.7,https://www.ratemyprofessors.com/professor/3146720
Colin Connors,Philosophy,3.9,8,75%,1.9,https://www.ratemyprofessors.com/professor/2564693
Joel Schulman,Business Administration,4,5,60%,3.2,https://www.ratemyprofessors.com/professor/3003299
Andrew Butler,Marketing,4.5,4,100%,3.3,https://www.ratemyprofessors.com/professor/3082857
Debashish Ghose,Business,2.5,2,50%,2,https://www.ratemyprofessors.com/professor/2969060
Yustianto Tjiptowidjojo,Mechanical Engineering,1.9,30,13%,4.4,https://www.ratemyprofessors.com/professor/2556940
Hua Dong,Modern Languages,4.4,21,67%,3.4,https://www.ratemyprofessors.com/professor/976054
Risa Kitagawa Amano,Political Science,4.8,18,89%,2.8,https://www.ratemyprofessors.com/professor/2515428
Iesha Karasik,Business,1.5,2,0%,3.5,https://www.ratemyprofessors.com/professor/2908126
Vasiliki Lykourinou,Chemistry,2.4,140,30%,3.4,https://www.ratemyprofessors.com/professor/1960822
Mark Gooley,Finance,3.4,45,50%,3.8,https://www.ratemyprofessors.com/professor/1644689
Deborah Soule,Business Administration,2.2,30,37%,3.5,https://www.ratemyprofessors.com/professor/1613492
Mary- Susan Potts,Biology,2.5,26,29%,4.4,https://www.ratemyprofessors.com/professor/1316366
Konstantin Khrapko,Biology,3.3,18,56%,3.9,https://www.ratemyprofessors.com/professor/2421328
Ravit Heskiau,Management,3.8,11,82%,2.7,https://www.ratemyprofessors.com/professor/2815312
Jennifer  Cassano,Chemistry,3.9,8,75%,3,https://www.ratemyprofessors.com/professor/2929044
Mark Miller,Computer Science,3.7,6,67%,1.8,https://www.ratemyprofessors.com/professor/2507972
Michael McCluskey,English,5,24,100%,1.7,https://www.ratemyprofessors.com/professor/2807127
Matthias Schlichting,Biology,4.9,9,100%,2.4,https://www.ratemyprofessors.com/professor/2785597
Hossein Mosallaei,Materials Engineering,1.6,8,17%,4,https://www.ratemyprofessors.com/professor/976547
John Kimani,Computer Engineering,3.3,21,67%,3.1,https://www.ratemyprofessors.com/professor/1946873
Jacques Alexis,Management,3.5,6,67%,3.7,https://www.ratemyprofessors.com/professor/2378379
Michael Allshouse,Mechanical Engineering,4.8,5,100%,4.2,https://www.ratemyprofessors.com/professor/2279294
Mark Fontenot,Computer Science,3,71,54%,3.1,https://www.ratemyprofessors.com/professor/2868024
Ted Moss,English,3.3,51,50%,3.7,https://www.ratemyprofessors.com/professor/986037
Mauricio Codesso,Accounting,2.7,17,41%,1.9,https://www.ratemyprofessors.com/professor/2655175
Martin Schedlbauer,Computer & Informational Tech.,3.5,74,36%,3.3,https://www.ratemyprofessors.com/professor/1221027
Leonard Glick,Business,3.3,36,50%,3.8,https://www.ratemyprofessors.com/professor/238576
Chris Bruell,Criminal Justice,4.5,25,82%,2.7,https://www.ratemyprofessors.com/professor/1048550
Shiawee Yang,Finance,3.1,22,50%,3.2,https://www.ratemyprofessors.com/professor/330849
Samina Karim,Entrepreneurship,5,20,100%,3,https://www.ratemyprofessors.com/professor/2130636
Roderick Ireland,Criminal Justice,4.2,11,100%,3.2,https://www.ratemyprofessors.com/professor/825585
Peter Fell,Economics,3.1,8,50%,3,https://www.ratemyprofessors.com/professor/3019840
Anjanette Chan Tack,Sociology,3.8,5,60%,2.2,https://www.ratemyprofessors.com/professor/2888146
Fatemah Ghoreishi,Computer Science,5,5,100%,2.2,https://www.ratemyprofessors.com/professor/2830644
Molly Buchanan,Criminal Justice,3.5,2,50%,2,https://www.ratemyprofessors.com/professor/2932677
Ilter Bakkal,Economics,2.7,144,46%,3.6,https://www.ratemyprofessors.com/professor/126131
Matthew Noonan,English,2.5,95,39%,4.2,https://www.ratemyprofessors.com/professor/69344
John Kane,Fine Arts,3.3,41,47%,3.9,https://www.ratemyprofessors.com/professor/238663
Matthew Webber,Physics,3.4,37,65%,2.9,https://www.ratemyprofessors.com/professor/2395515
Robin Hillyard,Engineering,3.6,14,64%,3.6,https://www.ratemyprofessors.com/professor/2424958
Emily Mann,Human Services,3.6,14,71%,3.6,https://www.ratemyprofessors.com/professor/1437826
John Guilfoil,Writing,4.3,12,67%,1.7,https://www.ratemyprofessors.com/professor/2029928
Ryan Ellis,Communication Studies,4.6,10,90%,3.2,https://www.ratemyprofessors.com/professor/2329054
Aatmesh Shrivastava,Electrical Engineering,3.5,6,67%,3.8,https://www.ratemyprofessors.com/professor/2790176
Hema Seshadri,Computer Science,5,4,100%,3.8,https://www.ratemyprofessors.com/professor/3156262
Mark Grabiner,Biology,4.3,89,88%,2.9,https://www.ratemyprofessors.com/professor/2846940
Kelley Danahy,Chemistry,3.8,75,68%,3.8,https://www.ratemyprofessors.com/professor/2825005
Carla Staton,Chemistry,3.4,66,67%,4.2,https://www.ratemyprofessors.com/professor/3040249
Jamie Bunce,Biology,3.6,62,65%,3.3,https://www.ratemyprofessors.com/professor/2037677
Grace Ferris,Chemistry,2.7,59,44%,4.4,https://www.ratemyprofessors.com/professor/3032416
Abigail Williams,Mathematics,4.7,43,93%,3,https://www.ratemyprofessors.com/professor/2253273
David Richters,Psychology,4.1,43,85%,2.3,https://www.ratemyprofessors.com/professor/1997366
Behrooz Satvat,Chemical Engineering,3.1,29,35%,4.7,https://www.ratemyprofessors.com/professor/1026885
Don O'Malley,Biochemistry,2.7,27,47%,2.7,https://www.ratemyprofessors.com/professor/443617
Amir Farhat,Engineering,3.5,21,58%,3.8,https://www.ratemyprofessors.com/professor/123486
Jennifer Ingemi,Psychology,4.3,18,78%,3.8,https://www.ratemyprofessors.com/professor/2181554
Patrice Collins,Criminal Justice,4.2,6,83%,2.5,https://www.ratemyprofessors.com/professor/2852654
Tako Oda,Counseling & Educational Psych,5,5,100%,1.2,https://www.ratemyprofessors.com/professor/3048164
Rajmohan Rajaraman,Computer Science,4.7,22,100%,3.5,https://www.ratemyprofessors.com/professor/157371
Meica Magnani,Philosophy,4.4,9,100%,2.7,https://www.ratemyprofessors.com/professor/2721774
Jesse Stern,Computer Science,2.5,8,25%,4.5,https://www.ratemyprofessors.com/professor/3110704
Maddie Balman,Biology,5,3,100%,3,https://www.ratemyprofessors.com/professor/3086701
Lynn Li,Accounting,3,5,60%,3,https://www.ratemyprofessors.com/professor/3143738
Ab Mosca,Computer Science,2.5,2,50%,2,https://www.ratemyprofessors.com/professor/2771337
Na'ama Nevo,Mathematics,5,1,100%,3,https://www.ratemyprofessors.com/professor/3157484
Jill Dupree,Economics,3.6,42,71%,2.1,https://www.ratemyprofessors.com/professor/2351141
David Ober,English,2.7,30,32%,3.3,https://www.ratemyprofessors.com/professor/2069433
Angelica Gascon,Spanish,1.8,6,0%,1.8,https://www.ratemyprofessors.com/professor/1367444
Sarah Riccardi-Swartz,Religious Studies,5,3,100%,2,https://www.ratemyprofessors.com/professor/3094536
Missy McElligott,Biology,4.2,74,80%,3.4,https://www.ratemyprofessors.com/professor/1939739
Constantine Mukasa,Engineering,2.4,57,30%,3.7,https://www.ratemyprofessors.com/professor/2543037
Richard Conley,International Affairs,4.6,27,100%,1.5,https://www.ratemyprofessors.com/professor/527478
Camille Gomez-Laberge,Physics,3.3,25,52%,3.7,https://www.ratemyprofessors.com/professor/2785316
Pablo  Alvarez,Mathematics,1,1,0%,5,https://www.ratemyprofessors.com/professor/3157333
Michael Hoppmann,Communication Studies,4.4,30,80%,3.4,https://www.ratemyprofessors.com/professor/1236578
Matthew Petit,Accounting,2.9,26,40%,3.7,https://www.ratemyprofessors.com/professor/1945286
Gokcen Erkilic,Visual Arts,5,3,100%,1.3,https://www.ratemyprofessors.com/professor/3144069
Manuel  Vaulont,Management,4.5,2,100%,3,https://www.ratemyprofessors.com/professor/2885314
Carlos Arriaga Serrano,Political Science,5,1,100%,1,https://www.ratemyprofessors.com/professor/3148861
Ayce Yesilaltay,Biology,4.6,42,93%,2.4,https://www.ratemyprofessors.com/professor/2747530
Mahsa Derakhshan,Computer Science,3.5,8,50%,3.6,https://www.ratemyprofessors.com/professor/2873803
Justin Mellette,English,4.5,6,83%,2.7,https://www.ratemyprofessors.com/professor/2729480
Nicole  Guidotti-Hernandez,Latin American Studies,1,2,0%,3,https://www.ratemyprofessors.com/professor/3051990
Ellen Jackson,English,4.6,28,92%,2.4,https://www.ratemyprofessors.com/professor/774342
Ralph Katz,Human Resources Management,4.1,21,62%,1.8,https://www.ratemyprofessors.com/professor/224013
Dagmar Sternad,Biology,2.8,5,40%,5,https://www.ratemyprofessors.com/professor/2756163
John Lindhe,Mathematics,4.5,79,93%,2.2,https://www.ratemyprofessors.com/professor/126132
Matthew Higger,Computer Science,4.9,55,100%,2.6,https://www.ratemyprofessors.com/professor/2547862
Deborah Milbauer,Health Science,5,38,100%,1.7,https://www.ratemyprofessors.com/professor/2638600
Enio Velazco,Business Administration,3.4,25,48%,3.8,https://www.ratemyprofessors.com/professor/2745134
Andrieta Pritchett,Accounting,4.4,20,90%,2.7,https://www.ratemyprofessors.com/professor/2519598
Adeel  Bhutta,Computer Science,3.5,15,60%,3.9,https://www.ratemyprofessors.com/professor/2895420
Fatema Nafa,Electrical Engineering,3.1,10,50%,2.4,https://www.ratemyprofessors.com/professor/2992785
Rachel Meyer,Sociology,4.6,8,88%,2.1,https://www.ratemyprofessors.com/professor/3128024
Jody Santos,Journalism,2,6,17%,4,https://www.ratemyprofessors.com/professor/2884541
Aron Stubbins,Environmental Science,4,2,50%,2,https://www.ratemyprofessors.com/professor/2878405
Rekha Bai,Mathematics,3.2,124,32%,2.7,https://www.ratemyprofessors.com/professor/312175
Joseph DePasquale,Chemistry,3.6,40,70%,3.8,https://www.ratemyprofessors.com/professor/2473923
Chieh Wu,Computer Science,4.9,36,94%,3,https://www.ratemyprofessors.com/professor/2969193
Ibrahim Zeid,Engineering,2.6,14,25%,3.2,https://www.ratemyprofessors.com/professor/1955290
Guohou Shan,Computer Science,4.5,4,75%,3.5,https://www.ratemyprofessors.com/professor/3093815
Ana Otero,Biology,3.1,67,58%,3.2,https://www.ratemyprofessors.com/professor/2851107
Joshua Hertz,Engineering,5,42,100%,2.7,https://www.ratemyprofessors.com/professor/2005358
David Myers,Finance,3.3,35,54%,3.9,https://www.ratemyprofessors.com/professor/2211549
Vidoje Mihajlovikj,Computer Science,4.8,33,94%,3.5,https://www.ratemyprofessors.com/professor/2326301
Sebastian Stockman,English,4.7,15,93%,1.2,https://www.ratemyprofessors.com/professor/2262963
Margot Abels,Women's Studies,4.1,13,77%,2.6,https://www.ratemyprofessors.com/professor/2529082
Laura Lewis,Chemical Engineering,1.3,10,12%,3.9,https://www.ratemyprofessors.com/professor/1181577
Lauren Savit,Women's Studies,3.3,8,75%,2.5,https://www.ratemyprofessors.com/professor/3047933
Zhenyu Liao,Organizational Leadership,5,8,100%,2.8,https://www.ratemyprofessors.com/professor/2621178
Louise Walker,History,4.2,8,71%,2,https://www.ratemyprofessors.com/professor/1999260
Nathaniel Lawshe,Criminal Justice,4.9,8,100%,1.9,https://www.ratemyprofessors.com/professor/2806379
Zhiyuan (Katherine) Zhang,Mathematics,4,4,75%,2.5,https://www.ratemyprofessors.com/professor/3102236
Michael Stone,Economics,4.6,72,91%,2.9,https://www.ratemyprofessors.com/professor/1947070
Judith Richman,Health Science,4.7,52,95%,1.5,https://www.ratemyprofessors.com/professor/593020
Patricia Hampf,Biology,3.8,17,79%,3.5,https://www.ratemyprofessors.com/professor/1830442
Joan Fitzgerald,Social Science,2.4,15,36%,3.6,https://www.ratemyprofessors.com/professor/289733
Xiaoyi Yang,Computer Science,2.8,11,55%,2.1,https://www.ratemyprofessors.com/professor/2916220
Laura Perovich,Graphic Design,1.8,5,20%,4.4,https://www.ratemyprofessors.com/professor/2632115
Nicole Snyder,Chemistry,4,1,100%,3,https://www.ratemyprofessors.com/professor/3080691
Geoffrey Trussell,Biology,4.7,23,86%,3.4,https://www.ratemyprofessors.com/professor/543729
Rose Sloan,Computer Science,2.2,18,17%,3.4,https://www.ratemyprofessors.com/professor/3053867
Rei Inouye,Not Specified,3.8,16,73%,3,https://www.ratemyprofessors.com/professor/976932
Kayla Wolf,Political Science,5,7,100%,2.1,https://www.ratemyprofessors.com/professor/3139529
Tiffany Joseph,International Affairs,2.1,7,29%,2.7,https://www.ratemyprofessors.com/professor/2647638
Fox Zarow,Game Design,4.4,7,86%,2.4,https://www.ratemyprofessors.com/professor/2751715
Steve Granelli,Communication Studies,4.1,80,80%,2.2,https://www.ratemyprofessors.com/professor/2319454
James Hudon,Mathematics,1.9,42,24%,3.9,https://www.ratemyprofessors.com/professor/2303353
Angelina Jay,Engineering,5,27,100%,2.2,https://www.ratemyprofessors.com/professor/2746552
Nishith Prakash,Economics,4,6,83%,3.5,https://www.ratemyprofessors.com/professor/3081724
Anadil Rao,Mathematics,4,2,100%,2,https://www.ratemyprofessors.com/professor/3150119
David Massey,Mathematics,4.3,67,89%,3.2,https://www.ratemyprofessors.com/professor/183993
Milivoje Davidovic,Finance,1,1,0%,5,https://www.ratemyprofessors.com/professor/2982302
Joshua Gancher,Computer Science,4,1,100%,1,https://www.ratemyprofessors.com/professor/3047125
Kay Mathiesen,Philosophy,3,1,0%,2,https://www.ratemyprofessors.com/professor/2793768
Karen Spikes,Psychology,3.5,156,52%,2.2,https://www.ratemyprofessors.com/professor/74170
Richard Whalen,Engineering,4.5,80,88%,2.5,https://www.ratemyprofessors.com/professor/152055
Eugene Bernstein,Pharmacy,4,68,64%,3.3,https://www.ratemyprofessors.com/professor/213087
Annie Witte,Accounting,4.4,67,82%,3.4,https://www.ratemyprofessors.com/professor/2739956
