term,created_date,course_info,audience,section,question,Number of Responses,Course Mean,Dept. Mean,Univ. Mean,Course Median,Dept. Median,Univ. Median,count_5,count_4,count_3,count_2,count_1,comment_prompt,comments_json,demographics_json
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6203-01 Business Entity Taxation  (Anthony Russo),47,Instructor Related Questions: Anthony Russo,The instructor came to class prepared to teach.,3,5.0,4.51,4.6,5.0,5.0,5.0,3,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6203-01 Business Entity Taxation  (Anthony Russo),47,Instructor Related Questions: Anthony Russo,The instructor used class time effectively.,2,4.5,4.25,4.44,4.5,5.0,5.0,1,1,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6203-01 Business Entity Taxation  (Anthony Russo),47,Instructor Related Questions: Anthony Russo,The instructor clearly communicated ideas and information.,2,4.5,3.8,4.31,4.5,4.0,5.0,1,1,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6203-01 Business Entity Taxation  (Anthony Russo),47,Instructor Related Questions: Anthony Russo,The instructor provided sufficient feedback.,2,4.0,3.88,4.26,4.0,4.0,5.0,1,0,1,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6203-01 Business Entity Taxation  (Anthony Russo),47,Instructor Related Questions: Anthony Russo,The instructor fairly evaluated my performance.,2,4.0,4.11,4.36,4.0,4.5,5.0,1,0,1,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6203-01 Business Entity Taxation  (Anthony Russo),47,Instructor Related Questions: Anthony Russo,The instructor was available to assist students outside of class.,2,5.0,4.63,4.52,5.0,5.0,5.0,2,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6203-01 Business Entity Taxation  (Anthony Russo),47,Instructor Related Questions: Anthony Russo,The instructor facilitated a respectful and inclusive learning environment.,2,5.0,4.29,4.61,5.0,5.0,5.0,2,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6203-01 Business Entity Taxation  (Anthony Russo),47,Instructor Related Questions: Anthony Russo,The instructor displayed enthusiasm for the course.,2,5.0,4.66,4.71,5.0,5.0,5.0,2,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6203-01 Business Entity Taxation  (Anthony Russo),47,Instructor Effectiveness: Anthony Russo,What is your overall rating of this instructor's teaching effectiveness?,3,4.67,3.95,4.5,5.0,4.0,5.0,2,1,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6203-01 Business Entity Taxation  (Anthony Russo),47,Comments,,,,,,,,,,,,,,Please comment on your experience of the online course environment in the open-ended text box.,"[""I need to learn to better navigate through tax research platforms. I would spend perhaps more time than I should have trying to find the relevant information to the class content."", ""Everything was very organized and smooth""]",
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6203-01 Business Entity Taxation  (Anthony Russo),47,Comments,,,,,,,,,,,,,,What were the strengths of this course and/or this instructor?,"[""Professor Russo always provided additional insight to the class topics. He would provide us with real–world examples (mainly from his own career and experience), which helped with understanding the topic we were going over. He made everyone feel included in the class, which is not an easy task in a virtual setting."", ""Instructor was very helpful and knowledgeable!""]",
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6203-01 Business Entity Taxation  (Anthony Russo),47,Comments,,,,,,,,,,,,,,What could the instructor do to make this course better?,"[""It would have been ideal if some class time was also dedicated to touching more on the assignments due; however, office hours were also available and efficiently used for that purpose.""]",
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6203-01 Business Entity Taxation  (Anthony Russo),47,Comments,,,,,,,,,,,,,,Please expand on the instructor’s strengths and/or areas for improvement in facilitating inclusive learning.,"[""n/a""]",
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6203-01 Business Entity Taxation  (Anthony Russo),47,Comments,,,,,,,,,,,,,,What I could have done to make this course better for myself.,"[""I could have read about tax law more. I would extract the necessary information for the class work; however, I know I would have benefitted more from the class if I would have read more on the topics.""]",
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6203-01 Business Entity Taxation  (Anthony Russo),47,Demographics,How often did you attend this class both in-person and remotely?,,,,,,,,,,,,,,,"{""80-100%"": 3, ""60-80%"": 0, ""40-60%"": 0, ""20-40%"": 0, ""1-20%"": 0}"
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6203-01 Business Entity Taxation  (Anthony Russo),47,Demographics,The number of hours per week I devoted to this course outside scheduled class meeting times.,,,,,,,,,,,,,,,"{""More than 10"": 2, ""8-10"": 0, ""5-7"": 1, ""3-4"": 0, ""0-2"": 0}"
Fall A 2025,"Tuesday, November 4, 2025","- TRACE report for ACCT6217-02 Corp Gov, Ethics, Fin Rpt  (Daniel Sunderland)",29,Questions to Assess Students’ Online Experience,Online course materials were organized to help me navigate through the course week by week.,2,5.0,4.25,4.41,5.0,5.0,5.0,2,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025","- TRACE report for ACCT6217-02 Corp Gov, Ethics, Fin Rpt  (Daniel Sunderland)",29,Questions to Assess Students’ Online Experience,Online interactions with my instructor created a sense of connection in the virtual classroom.,2,5.0,4.0,4.3,5.0,4.0,5.0,2,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025","- TRACE report for ACCT6217-02 Corp Gov, Ethics, Fin Rpt  (Daniel Sunderland)",29,Questions to Assess Students’ Online Experience,Online course interactions created a sense of community and connection to my classmates.,2,5.0,3.81,4.2,5.0,4.0,5.0,2,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025","- TRACE report for ACCT6217-02 Corp Gov, Ethics, Fin Rpt  (Daniel Sunderland)",29,Questions to Assess Students’ Online Experience,I had the necessary computer skills and technology to successfully complete the course.,2,5.0,4.47,4.69,5.0,5.0,5.0,2,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025","- TRACE report for ACCT6217-02 Corp Gov, Ethics, Fin Rpt  (Daniel Sunderland)",29,Course Related Questions,The syllabus was accurate and helpful in delineating expectations and course outcomes.,2,5.0,4.42,4.45,5.0,5.0,5.0,2,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025","- TRACE report for ACCT6217-02 Corp Gov, Ethics, Fin Rpt  (Daniel Sunderland)",29,Course Related Questions,Required and additional course materials were helpful in achieving course outcomes.,2,5.0,4.05,4.36,5.0,5.0,5.0,2,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025","- TRACE report for ACCT6217-02 Corp Gov, Ethics, Fin Rpt  (Daniel Sunderland)",29,Learning Related Questions,In-class sessions were helpful for learning.,2,5.0,3.61,4.29,5.0,4.0,5.0,2,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025","- TRACE report for ACCT6217-02 Corp Gov, Ethics, Fin Rpt  (Daniel Sunderland)",29,Learning Related Questions,Out-of-class assignments and/or fieldwork were helpful for learning.,2,5.0,4.04,4.29,5.0,4.5,5.0,2,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025","- TRACE report for ACCT6217-02 Corp Gov, Ethics, Fin Rpt  (Daniel Sunderland)",29,Learning Related Questions,This course was intellectually challenging.,2,5.0,4.84,4.37,5.0,5.0,5.0,2,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025","- TRACE report for ACCT6217-02 Corp Gov, Ethics, Fin Rpt  (Daniel Sunderland)",29,Learning Related Questions,I learned a lot in this course.,2,5.0,4.21,4.43,5.0,4.5,5.0,2,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025","- TRACE report for ACCT6217-02 Corp Gov, Ethics, Fin Rpt  (Daniel Sunderland)",29,Instructor Related Questions: Daniel Sunderland,The instructor came to class prepared to teach.,2,5.0,4.51,4.6,5.0,5.0,5.0,2,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025","- TRACE report for ACCT6217-02 Corp Gov, Ethics, Fin Rpt  (Daniel Sunderland)",29,Instructor Related Questions: Daniel Sunderland,The instructor used class time effectively.,2,5.0,4.25,4.44,5.0,5.0,5.0,2,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025","- TRACE report for ACCT6217-02 Corp Gov, Ethics, Fin Rpt  (Daniel Sunderland)",29,Instructor Related Questions: Daniel Sunderland,The instructor clearly communicated ideas and information.,2,5.0,3.8,4.31,5.0,4.0,5.0,2,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025","- TRACE report for ACCT6217-02 Corp Gov, Ethics, Fin Rpt  (Daniel Sunderland)",29,Instructor Related Questions: Daniel Sunderland,The instructor provided sufficient feedback.,2,5.0,3.88,4.26,5.0,4.0,5.0,2,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025","- TRACE report for ACCT6217-02 Corp Gov, Ethics, Fin Rpt  (Daniel Sunderland)",29,Instructor Related Questions: Daniel Sunderland,The instructor fairly evaluated my performance.,2,5.0,4.11,4.36,5.0,4.5,5.0,2,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025","- TRACE report for ACCT6217-02 Corp Gov, Ethics, Fin Rpt  (Daniel Sunderland)",29,Instructor Related Questions: Daniel Sunderland,The instructor was available to assist students outside of class.,2,5.0,4.63,4.52,5.0,5.0,5.0,2,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025","- TRACE report for ACCT6217-02 Corp Gov, Ethics, Fin Rpt  (Daniel Sunderland)",29,Instructor Related Questions: Daniel Sunderland,The instructor facilitated a respectful and inclusive learning environment.,2,5.0,4.29,4.61,5.0,5.0,5.0,2,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025","- TRACE report for ACCT6217-02 Corp Gov, Ethics, Fin Rpt  (Daniel Sunderland)",29,Instructor Related Questions: Daniel Sunderland,The instructor displayed enthusiasm for the course.,2,5.0,4.66,4.71,5.0,5.0,5.0,2,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025","- TRACE report for ACCT6217-02 Corp Gov, Ethics, Fin Rpt  (Daniel Sunderland)",29,Instructor Effectiveness: Daniel Sunderland,What is your overall rating of this instructor's teaching effectiveness?,2,5.0,3.95,4.5,5.0,4.0,5.0,2,0,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025","- TRACE report for ACCT6217-02 Corp Gov, Ethics, Fin Rpt  (Daniel Sunderland)",29,Comments,,,,,,,,,,,,,,Please comment on your experience of the online course environment in the open-ended text box.,"[""I enjoyed the online nature of this course. Despite it being online, students were provided live lecture meeting and office hours for 1–on–1 support as they proceeded through the course material""]",
Fall A 2025,"Tuesday, November 4, 2025","- TRACE report for ACCT6217-02 Corp Gov, Ethics, Fin Rpt  (Daniel Sunderland)",29,Comments,,,,,,,,,,,,,,What were the strengths of this course and/or this instructor?,"[""Professor Dan S. is a great instructor! Each lecture he’d provide useful content related to the week’s course material. During office hours, he’d also do his best to help students understand his assignment instructions, though they were easily understandable to begin with!""]",
Fall A 2025,"Tuesday, November 4, 2025","- TRACE report for ACCT6217-02 Corp Gov, Ethics, Fin Rpt  (Daniel Sunderland)",29,Demographics,How often did you attend this class both in-person and remotely?,,,,,,,,,,,,,,,"{""80-100%"": 1, ""60-80%"": 1, ""40-60%"": 0, ""20-40%"": 0, ""1-20%"": 0}"
Fall A 2025,"Tuesday, November 4, 2025","- TRACE report for ACCT6217-02 Corp Gov, Ethics, Fin Rpt  (Daniel Sunderland)",29,Demographics,The number of hours per week I devoted to this course outside scheduled class meeting times.,,,,,,,,,,,,,,,"{""More than 10"": 0, ""8-10"": 0, ""5-7"": 2, ""3-4"": 0, ""0-2"": 0}"
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6318-01 Anlyzng Acct Data for Strt Dec  (Christopher Miller),38,Questions to Assess Students’ Online Experience,Online course materials were organized to help me navigate through the course week by week.,24,4.0,4.25,4.41,4.0,5.0,5.0,10,6,6,2,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6318-01 Anlyzng Acct Data for Strt Dec  (Christopher Miller),38,Questions to Assess Students’ Online Experience,Online interactions with my instructor created a sense of connection in the virtual classroom.,18,4.0,4.0,4.3,4.0,4.0,5.0,8,3,6,1,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6318-01 Anlyzng Acct Data for Strt Dec  (Christopher Miller),38,Questions to Assess Students’ Online Experience,Online course interactions created a sense of community and connection to my classmates.,18,3.94,3.81,4.2,4.0,4.0,5.0,8,2,7,1,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6318-01 Anlyzng Acct Data for Strt Dec  (Christopher Miller),38,Questions to Assess Students’ Online Experience,I had the necessary computer skills and technology to successfully complete the course.,22,4.36,4.47,4.69,5.0,5.0,5.0,13,6,2,0,1,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6318-01 Anlyzng Acct Data for Strt Dec  (Christopher Miller),38,Course Related Questions,The syllabus was accurate and helpful in delineating expectations and course outcomes.,25,4.4,4.42,4.45,5.0,5.0,5.0,16,6,1,1,1,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6318-01 Anlyzng Acct Data for Strt Dec  (Christopher Miller),38,Course Related Questions,Required and additional course materials were helpful in achieving course outcomes.,25,3.96,4.05,4.36,5.0,5.0,5.0,13,5,1,5,1,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6318-01 Anlyzng Acct Data for Strt Dec  (Christopher Miller),38,Learning Related Questions,In-class sessions were helpful for learning.,25,3.48,3.61,4.29,4.0,4.0,5.0,9,4,5,4,3,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6318-01 Anlyzng Acct Data for Strt Dec  (Christopher Miller),38,Learning Related Questions,Out-of-class assignments and/or fieldwork were helpful for learning.,25,4.04,4.04,4.29,5.0,4.5,5.0,14,4,3,2,2,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6318-01 Anlyzng Acct Data for Strt Dec  (Christopher Miller),38,Learning Related Questions,This course was intellectually challenging.,25,4.88,4.84,4.37,5.0,5.0,5.0,22,3,0,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6318-01 Anlyzng Acct Data for Strt Dec  (Christopher Miller),38,Learning Related Questions,I learned a lot in this course.,25,4.16,4.21,4.43,5.0,4.5,5.0,15,4,3,1,2,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6318-01 Anlyzng Acct Data for Strt Dec  (Christopher Miller),38,Instructor Related Questions: Christopher Miller,The instructor came to class prepared to teach.,25,4.44,4.51,4.6,5.0,5.0,5.0,14,9,1,1,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6318-01 Anlyzng Acct Data for Strt Dec  (Christopher Miller),38,Instructor Related Questions: Christopher Miller,The instructor used class time effectively.,25,3.96,4.25,4.44,4.0,5.0,5.0,11,6,4,4,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6318-01 Anlyzng Acct Data for Strt Dec  (Christopher Miller),38,Instructor Related Questions: Christopher Miller,The instructor clearly communicated ideas and information.,25,3.8,3.8,4.31,4.0,4.0,5.0,12,3,3,7,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6318-01 Anlyzng Acct Data for Strt Dec  (Christopher Miller),38,Instructor Related Questions: Christopher Miller,The instructor provided sufficient feedback.,25,3.84,3.88,4.26,4.0,4.0,5.0,12,5,1,6,1,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6318-01 Anlyzng Acct Data for Strt Dec  (Christopher Miller),38,Instructor Related Questions: Christopher Miller,The instructor fairly evaluated my performance.,25,4.12,4.11,4.36,5.0,4.5,5.0,13,6,3,2,1,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6318-01 Anlyzng Acct Data for Strt Dec  (Christopher Miller),38,Instructor Related Questions: Christopher Miller,The instructor was available to assist students outside of class.,25,4.52,4.63,4.52,5.0,5.0,5.0,16,7,1,1,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6318-01 Anlyzng Acct Data for Strt Dec  (Christopher Miller),38,Instructor Related Questions: Christopher Miller,The instructor facilitated a respectful and inclusive learning environment.,25,4.12,4.29,4.61,5.0,5.0,5.0,14,6,1,2,2,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6318-01 Anlyzng Acct Data for Strt Dec  (Christopher Miller),38,Instructor Related Questions: Christopher Miller,The instructor displayed enthusiasm for the course.,25,4.72,4.66,4.71,5.0,5.0,5.0,20,3,2,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6318-01 Anlyzng Acct Data for Strt Dec  (Christopher Miller),38,Instructor Effectiveness: Christopher Miller,What is your overall rating of this instructor's teaching effectiveness?,25,3.92,3.95,4.5,4.0,4.0,5.0,10,7,4,4,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6318-01 Anlyzng Acct Data for Strt Dec  (Christopher Miller),38,Comments,,,,,,,,,,,,,,Please comment on your experience of the online course environment in the open-ended text box.,"[""Not much online other than canvas posts."", ""Canvas was good"", ""N/A, in–person class, but the online materials are all you need to do well in exams."", ""N/A: this course was taught in person."", ""classes were in person but canvas was easy to navigate"", ""please put everything in canvas dashboard"", ""The material posted online was very misleading and wasn’t a very good help when it came to what we were expected to know. The online course material involved using equations to solve problems, equations that were completely different than what we were taught in class."", ""It was sometimes easy to navigate and sometimes hard"", ""All the information on canvas was very useful for learning."", ""n/a"", ""The Professor utilized Panopto videos as a resource for students to watch after class to continue to learn about class material. This was helpful.""]",
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6318-01 Anlyzng Acct Data for Strt Dec  (Christopher Miller),38,Comments,,,,,,,,,,,,,,What were the strengths of this course and/or this instructor?,"[""Very good at allowing people who already understand a bit of accounting to enjoy and apply it even more."", ""The course was too fast paced, I felt that I couldn’t learn anything in class and had to learn it at home by myself.I think feedback was missing in the course, it would be great to get exercises to do ourselves in class (not solved by the profesor) and get feedback for it on the next class, that way we can be sure we are actually sure that we have mastered a topic."", ""Professor Miller cares about the topic and is funny"", ""Professor is nice and always came prepared, but is unclear in his explanations of concepts, and the calculations are sometimes confusing."", ""Not much... His teaching style left much to be desired."", ""super kind, made me laugh, lots of relation to real world experience"", ""he is very real and transparent"", ""He was engaging  in class at times. Willingness to go over practice questions that students requested."", ""I like how Professor Miller always provided extra questions for practice for every topic we covered."", ""Although I am not the best at accounting, Miller gave us multiple opportunities to learn and expand on our knowledge. It was a very challenging class as the topics are hard to comprehend in such a short period of time."", ""He did a great job teaching a difficult subject."", ""Many practice problems"", ""I greatly appreciate professor millers availability outside of the classroom. Many students including myself attended his office hours to get the additional practice necessary to understand class concepts"", ""He is very nice and patient. He spends a lot of time answering students' questions."", ""a lot of information he knows the info""]",
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6318-01 Anlyzng Acct Data for Strt Dec  (Christopher Miller),38,Comments,,,,,,,,,,,,,,What could the instructor do to make this course better?,"[""More practice problems"", ""More non graded tests to figure out how much do we understand the subject.More graded assignments, midterm and final weight too much, it would be great to get more grade opportunities with more coursework."", ""difficulty was not proportional to the practice sheets provided"", ""talk more about actual problems in class"", ""Be more clear in explanations."", ""Make the practice questions reflect the exam. On the midterm exam, about 80 percent of the exam came from a single 1–hour lecture during class."", ""more focus on specific equations, more practice problems ran through in class"", ""Reevaluate the handouts and practice exams so they actually reflect how he wants us to learn the material and what he is expecting us to know for the exams."", ""N/A"", ""I think that if we were able to have a formula sheet for the exams it would've created a less stressful environment when it came to the exams and wouldve allowed us to learn the material more than just memorize how to use the formulas."", ""I think the percentage to final could be the same as midterm and reallocate the 10% to another assignment like case analysis."", ""Professor Miller sometimes did not explain the concepts in class in a way that was easy for students without accounting background to understand. The expedited nature of the class time ( having to cram multiple concepts into one class period) made it difficult to ask many questions or review additional problems which I think would have been helpful for classmates."", ""He is very very busy with many classes on hand, but it would be nice if he can respond to emails slightly faster."", ""more practice asssignments/problem sets during week and cheat sheet""]",
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6318-01 Anlyzng Acct Data for Strt Dec  (Christopher Miller),38,Comments,,,,,,,,,,,,,,Please expand on the instructor’s strengths and/or areas for improvement in facilitating inclusive learning.,"[""Very hard to assess– extremely hard course to deliver in half a semester, but MBAs are naturally harder so it's fair game."", ""was not helpful during class, did not accept feedback when class voiced concerns"", ""Refrain from phrases such as \""this is just 4th grade math\"" or \""this is so easy\"" to an entire class of confused people."", ""Refrain from using comments that are discouraging. Comments made were very discouraging and made it difficult to participate in class discussions out of fear of being put down."", ""N/A"", ""The instructor is good at answering questions in class and tries his best to make sure everyone understands it"", ""He spent so much time outside of classroom hours helping people out who came to him."", ""utilize clearer language on exam questions and offer practice questions that are similar to exam material. There are a lot of questions available but, because of this students can spend hours on learning concepts that are not on exams or accidentally miss questions that do make an appearance in the exam."", ""simplify concepts""]",
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6318-01 Anlyzng Acct Data for Strt Dec  (Christopher Miller),38,Comments,,,,,,,,,,,,,,What I could have done to make this course better for myself.,"[""Consistent practice instead of chunked practice on the weekends."", ""studied even more"", ""Study more"", ""Attend class more regularly and read the textbook."", ""Not much – this class was incredibly difficult as–is, even with tutoring/office hours"", ""met with professor at his office hours at the beginning of the semester, found better study habits sooner"", ""Go to the professor with my concerns"", ""I could have looked to have more tutoring and looked to get more hours with my teacher outside of class"", ""I wish I met with the TAs more and used my assigned 5 free hours of tutoring."", ""I feel that i could have asked more questions in class."", ""This class was very difficult to succeed in without an accounting or finance background since classes were expedited due to the shorter \"" Fall 1\"" term. The professor offered many additional practice problems to work on concepts but the volume was difficult to get through while staying on top of other classes deliverables. I could have attended more office hours to achieve a higher grade."", ""I have never touched accounting before getting in this MBA program, so I study accounting every single day since the semester starts. I finished an entire notebook of notes. I got 74 for the midterm and got 98 for the midterm retake. I think this is the best I can do and I deserve it."", ""office hours""]",
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6318-01 Anlyzng Acct Data for Strt Dec  (Christopher Miller),38,Demographics,How often did you attend this class both in-person and remotely?,,,,,,,,,,,,,,,"{""80-100%"": 24, ""60-80%"": 1, ""40-60%"": 0, ""20-40%"": 0, ""1-20%"": 0}"
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6318-01 Anlyzng Acct Data for Strt Dec  (Christopher Miller),38,Demographics,The number of hours per week I devoted to this course outside scheduled class meeting times.,,,,,,,,,,,,,,,"{""More than 10"": 14, ""8-10"": 7, ""5-7"": 3, ""3-4"": 1, ""0-2"": 0}"
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6318-02 Anlyzng Acct Data for Strt Dec  (Christopher Miller),37,Questions to Assess Students’ Online Experience,Online course materials were organized to help me navigate through the course week by week.,23,4.35,4.25,4.41,5.0,5.0,5.0,12,7,4,0,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6318-02 Anlyzng Acct Data for Strt Dec  (Christopher Miller),37,Questions to Assess Students’ Online Experience,Online interactions with my instructor created a sense of connection in the virtual classroom.,19,3.74,4.0,4.3,4.0,4.0,5.0,4,8,5,2,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6318-02 Anlyzng Acct Data for Strt Dec  (Christopher Miller),37,Questions to Assess Students’ Online Experience,Online course interactions created a sense of community and connection to my classmates.,19,3.37,3.81,4.2,3.0,4.0,5.0,3,5,8,2,1,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6318-02 Anlyzng Acct Data for Strt Dec  (Christopher Miller),37,Questions to Assess Students’ Online Experience,I had the necessary computer skills and technology to successfully complete the course.,22,4.55,4.47,4.69,5.0,5.0,5.0,16,3,2,1,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6318-02 Anlyzng Acct Data for Strt Dec  (Christopher Miller),37,Course Related Questions,The syllabus was accurate and helpful in delineating expectations and course outcomes.,27,4.33,4.42,4.45,4.0,5.0,5.0,12,13,1,1,0,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6318-02 Anlyzng Acct Data for Strt Dec  (Christopher Miller),37,Course Related Questions,Required and additional course materials were helpful in achieving course outcomes.,27,4.0,4.05,4.36,4.0,5.0,5.0,12,7,5,2,1,,,
Fall A 2025,"Tuesday, November 4, 2025",- TRACE report for ACCT6318-02 Anlyzng Acct Data for Strt Dec  (Christopher Miller),37,Learning Related Questions,In-class sessions were helpful for learning.,27,3.52,3.61,4.29,4.0,4.0,5.0,9,6,4,6,2,,,
